,time,rela,crel,time.1,rela.1,crel.1,time.2,rela.2,crel.2,time.3,rela.3,crel.3,time.4,rela.4,crel.4
78,8.9475,0.768031671,0.236881036,8.945555556,0.943344048,0.617352916,8.9475,1.080587575,0.523054276,8.949444444,0.54213409,0.094776298,8.945555556,0.456464178,0.076716917
79,9.064166667,0.699935585,0.220028995,9.062222222,0.946297497,0.592415967,9.064166667,1.09064313,0.562482559,9.066111111,0.531131194,0.091152637,9.062222222,0.516451943,0.096411724
80,9.180833333,0.601185533,0.178206927,9.178888889,0.934330964,0.554883496,9.180833333,1.095854299,0.582055212,9.182777778,0.553686403,0.098112356,9.178888889,0.581652747,0.118337651
81,9.2975,0.490826065,0.119660513,9.295555556,0.862859423,0.50863762,9.2975,1.074441499,0.581644273,9.299444444,0.609090134,0.124600427,9.295555556,0.624942885,0.133178528
82,9.414166667,0.407036606,0.066213004,9.412222222,0.771302213,0.449629371,9.414166667,1.076835506,0.581644985,9.416111111,0.686770026,0.171357807,9.412222222,0.616979321,0.133237525
83,9.530833333,0.31918995,0.018209151,9.528888889,0.725746098,0.39897517,9.530833333,1.092860926,0.574139553,9.532777778,0.768884428,0.212582375,9.528888889,0.571397384,0.119038854
84,9.6475,0.237582784,-0.034920592,9.645555556,0.710379977,0.377542461,9.6475,1.095216005,0.555329261,9.649444444,0.827609122,0.251607393,9.645555556,0.493192323,0.093088455
85,9.764166667,0.250794048,-0.074541772,9.762222222,0.720598074,0.369228028,9.764166667,1.110570927,0.560731428,9.766111111,0.853762561,0.291260244,9.762222222,0.36734548,0.052573521
86,9.880833333,0.348201824,-0.092452619,9.878888889,0.783368796,0.366200677,9.880833333,1.130502735,0.579726825,9.882777778,0.8553126,0.311628325,9.878888889,0.239051703,0.002120037
87,9.9975,0.428171858,-0.099255285,9.995555556,0.852639021,0.374474962,9.9975,1.139317302,0.598546464,9.999444444,0.831597179,0.314186137,9.995555556,0.142852325,-0.043994641
88,10.11416667,0.490493514,-0.095678638,10.11222222,0.916225478,0.391849709,10.11416667,1.154799024,0.616183044,10.11611111,0.79142108,0.304203197,10.11222222,0.064717277,-0.086127611
89,10.23083333,0.545384932,-0.076984284,10.22888889,0.972873186,0.409210951,10.23083333,1.176584235,0.627601829,10.23277778,0.757457594,0.285846097,10.22888889,0.021687266,-0.116302297
90,10.3475,0.569797889,-0.060864161,10.34555556,0.997212754,0.428479398,10.3475,1.182187978,0.618246922,10.34944444,0.709789091,0.251502027,10.34555556,0.030144359,-0.130728171
91,10.46416667,0.557881369,-0.055560168,10.46222222,0.961946113,0.448378453,10.46416667,1.165941232,0.592832505,10.46611111,0.630314333,0.203705281,10.46222222,0.062617078,-0.129245938
92,10.58083333,0.527593497,-0.05589109,10.57888889,0.908180202,0.460779531,10.58083333,1.135989272,0.565646455,10.58277778,0.561353072,0.162393646,10.57888889,0.104240071,-0.115184482
93,10.6975,0.473278461,-0.060787605,10.69555556,0.859962071,0.457652102,10.6975,1.103174677,0.549163657,10.69944444,0.517284887,0.131391914,10.69555556,0.163398103,-0.09167031
94,10.81416667,0.395542036,-0.082484283,10.81222222,0.821585583,0.444897002,10.81416667,1.056640026,0.530152874,10.81611111,0.490323165,0.111498105,10.81222222,0.234862267,-0.064541535
95,10.93083333,0.312061746,-0.108996602,10.92888889,0.825406227,0.427088715,10.93083333,1.025833103,0.514689133,10.93277778,0.48513183,0.112810529,10.92888889,0.322663235,-0.03747041
96,11.0475,0.244798445,-0.124239997,11.04555556,0.872650135,0.411719161,11.0475,0.998223489,0.496191714,11.04944444,0.503114413,0.137638169,11.04555556,0.40779049,-0.025754616
97,11.16416667,0.194108506,-0.144861539,11.16222222,0.920902091,0.404179216,11.16416667,0.953551862,0.460992798,11.16611111,0.520438062,0.160335935,11.16222222,0.467827644,-0.017148124
98,11.28083333,0.16288731,-0.170898753,11.27888889,0.959412216,0.401111672,11.28083333,0.924299468,0.425981712,11.28277778,0.542404621,0.185957094,11.27888889,0.496265229,0.002332797
99,11.3975,0.127337636,-0.183300027,11.39555556,0.994813057,0.403907587,11.3975,0.926656952,0.421448745,11.39944444,0.575553945,0.223859939,11.39555556,0.482044566,0.018594337
100,11.51416667,0.06738599,-0.201183655,11.51222222,0.994769828,0.41549201,11.51416667,0.932969475,0.424727575,11.51611111,0.612067519,0.261557825,11.51222222,0.409171624,0.022694529
101,11.63083333,0.03400228,-0.229429186,11.62888889,0.96201325,0.425541071,11.63083333,0.952625068,0.427523868,11.63277778,0.63768288,0.289761932,11.62888889,0.305038917,0.012947703
102,11.7475,0.037780722,-0.241078506,11.74555556,0.908502296,0.422041139,11.7475,1.004590692,0.435072777,11.74944444,0.656555922,0.309929513,11.74555556,0.201948729,-0.019238741
103,11.86416667,0.049911809,-0.238813388,11.86222222,0.832068052,0.399541309,11.86416667,1.048775339,0.431513204,11.86611111,0.635622446,0.302444405,11.86222222,0.106739134,-0.06919138
,11.98083333,0.065172729,-0.239260026,11.97888889,0.743770319,0.357753914,11.98083333,1.036231449,0.395817327,11.98277778,0.586638491,0.249953863,11.97888889,0.055616665,-0.112270773
,12.0975,0.101349048,-0.231185197,12.09555556,0.689288178,0.311550465,12.0975,0.983184836,0.341476845,12.09944444,0.544311155,0.192896492,12.09555556,0.067701664,-0.131977708
,12.21416667,0.160681758,-0.205566647,12.21222222,0.687942812,0.272244535,12.21416667,0.922556182,0.285021889,12.21611111,0.537367024,0.173047979,12.21222222,0.09718756,-0.132801914
,12.33083333,0.198594902,-0.18253785,12.32888889,0.714772076,0.252999298,12.33083333,0.837443708,0.224433285,12.33277778,0.569315673,0.195080033,12.32888889,0.117505179,-0.128553798
,12.4475,0.192278225,-0.171937864,12.44555556,0.75975817,0.263135651,12.4475,0.751234276,0.167320001,12.44944444,0.622246461,0.228325437,12.44555556,0.147435572,-0.118465345
,12.56416667,0.157128291,-0.162547746,12.56222222,0.810349251,0.28549567,12.56416667,0.767564105,0.159017382,12.56611111,0.674818238,0.255885786,12.56222222,0.160112836,-0.110565545
,12.68083333,0.124244269,-0.151124111,12.67888889,0.843328502,0.303500815,12.68083333,0.805706037,0.157937798,12.68277778,0.735063091,0.290369273,12.67888889,0.166004219,-0.107158718
,12.7975,0.08132025,-0.139656732,12.79555556,0.87206258,0.320638726,12.7975,0.849253437,0.159423958,12.79944444,0.793110466,0.323139816,12.79555556,0.17020121,-0.103587629
,12.91416667,0.030052314,-0.128531399,12.91222222,0.899199638,0.336315525,12.91416667,0.902976008,0.165970279,12.91611111,0.846725021,0.350759216,12.91222222,0.175418894,-0.099652574
