,time,rela,crel,time1,rela.1,crel.1,time2,rela.2,crel.2,time3,rela.3,crel.3,time4,rela.4,crel.4
51,5.774166667,-0.2065922,-0.380866939,5.778055556,0.249328713,0.352317137,5.78,-0.276457973,-0.294565855,5.778055556,0.181217044,0.125465544,5.78,0.007116091,0.196502149
52,5.890833333,-0.206577274,-0.395423484,5.894722222,0.201864973,0.341076611,5.896666667,-0.287076511,-0.309807986,5.894722222,0.163714577,0.142726954,5.896666667,-0.038484167,0.175218958
53,6.0075,-0.197999654,-0.398815104,6.011388889,0.150613168,0.32389627,6.013333333,-0.298152062,-0.315807438,6.011388889,0.134223329,0.128815259,6.013333333,-0.065612085,0.168427711
54,6.124166667,-0.18525058,-0.391606698,6.128055556,0.118870849,0.298424387,6.13,-0.294254854,-0.307570193,6.128055556,0.09936817,0.076941007,6.13,-0.075154477,0.160676098
55,6.240833333,-0.168927427,-0.380057571,6.244722222,0.092868711,0.261648328,6.246666667,-0.270380652,-0.286706861,6.244722222,0.069558854,-0.005503708,6.246666667,-0.07342975,0.12735232
56,6.3575,-0.145982972,-0.375807722,6.361388889,0.093650631,0.232078715,6.363333333,-0.231483662,-0.255101554,6.361388889,0.038864059,-0.086277431,6.363333333,-0.043341266,0.080602381
57,6.474166667,-0.118367291,-0.375373267,6.478055556,0.132851788,0.219442533,6.48,-0.192384926,-0.218442288,6.478055556,0.035264697,-0.126304139,6.48,-0.010469001,0.042172892
58,6.590833333,-0.082486337,-0.362706123,6.594722222,0.170167214,0.21454245,6.596666667,-0.1650014,-0.18594742,6.594722222,0.067519851,-0.123713434,6.596666667,0.000536629,0.012185092
59,6.7075,-0.039162601,-0.341255882,6.711388889,0.198375407,0.230442066,6.713333333,-0.160122988,-0.169382311,6.711388889,0.096795339,-0.095870146,6.713333333,0.018742614,0.002466502
60,6.824166667,0.002692998,-0.321938564,6.828055556,0.232246154,0.270526391,6.83,-0.182778912,-0.177472213,6.828055556,0.110144923,-0.060140751,6.83,0.046796129,0.019113779
61,6.940833333,0.034951822,-0.303562603,6.944722222,0.249174618,0.314073972,6.946666667,-0.216886976,-0.205123734,6.944722222,0.125877669,-0.023271225,6.946666667,0.053020054,0.054214768
62,7.0575,0.050565067,-0.287395653,7.061388889,0.236117979,0.346162964,7.063333333,-0.240049379,-0.233616623,7.061388889,0.149070147,0.013751081,7.063333333,0.045107789,0.098024683
63,7.174166667,0.047295094,-0.278713405,7.178055556,0.214114851,0.360706642,7.18,-0.239475697,-0.247052507,7.178055556,0.180939475,0.050452062,7.18,0.056491503,0.138149265
64,7.290833333,0.038836003,-0.279205002,7.294722222,0.197304052,0.353794865,7.296666667,-0.221606579,-0.246913214,7.294722222,0.229138599,0.083958945,7.296666667,0.076828575,0.166278241
65,7.4075,0.004449212,-0.281952474,7.411388889,0.176452002,0.323428897,7.413333333,-0.199084795,-0.24593658,7.411388889,0.26786491,0.11235951,7.413333333,0.087375146,0.187514489
66,7.524166667,-0.0514609,-0.285496574,7.528055556,0.155302252,0.286993458,7.53,-0.177422051,-0.246550322,7.528055556,0.262072213,0.111258356,7.53,0.082820739,0.194725755
67,7.640833333,-0.098522937,-0.298193372,7.644722222,0.136887288,0.260917495,7.646666667,-0.16289559,-0.246762696,7.644722222,0.210235781,0.070830344,7.646666667,0.071722465,0.17220124
68,7.7575,-0.126348835,-0.318258172,7.761388889,0.117807725,0.245641024,7.763333333,-0.168521326,-0.255641873,7.761388889,0.134696238,0.008800787,7.763333333,0.048651394,0.146279852
69,7.874166667,-0.141738905,-0.336269904,7.878055556,0.090542956,0.230494812,7.88,-0.180933866,-0.270553731,7.878055556,0.052458984,-0.065455107,7.88,0.022463198,0.133528955
70,7.990833333,-0.130064304,-0.353316116,7.994722222,0.060674693,0.216296658,7.996666667,-0.196319363,-0.278283208,7.994722222,0.001000076,-0.145883449,7.996666667,0.008947915,0.121496128
71,8.1075,-0.106138589,-0.372938599,8.111388889,0.029763398,0.197031097,8.113333333,-0.221876317,-0.284957225,8.111388889,-0.008877852,-0.198039741,8.113333333,0.013977896,0.114536872
72,8.224166667,-0.102228017,-0.385469404,8.228055556,-0.000324178,0.174186224,8.23,-0.249211712,-0.297702812,8.228055556,0.00640231,-0.208312387,8.23,0.042329871,0.132202774
73,8.340833333,-0.121190884,-0.392240124,8.344722222,-0.02754641,0.157970257,8.346666667,-0.269654588,-0.30838892,8.344722222,0.040294647,-0.187057256,8.346666667,0.068674666,0.160452366
74,8.4575,-0.145517838,-0.397159749,8.461388889,-0.037103359,0.149806944,8.463333333,-0.287049451,-0.315943945,8.461388889,0.080657805,-0.15387344,8.463333333,0.076312913,0.181388763
75,8.574166667,-0.161742547,-0.401791686,8.578055556,-0.019836629,0.146307558,8.58,-0.29356318,-0.321219779,8.578055556,0.094191496,-0.114083986,8.58,0.078788706,0.19801527
76,8.690833333,-0.156830736,-0.403154941,8.694722222,0.009992551,0.152186868,8.696666667,-0.291297819,-0.322510682,8.694722222,0.085938223,-0.076451838,8.696666667,0.070700849,0.196579347
77,8.8075,-0.119756058,-0.391576873,8.811388889,0.044905616,0.161905579,8.813333333,-0.287018272,-0.321277887,8.811388889,0.074994266,-0.051391164,8.813333333,0.040186491,0.172985097
78,8.924166667,-0.068712455,-0.369929912,8.928055556,0.082788076,0.170769963,8.93,-0.279604379,-0.316992488,8.928055556,0.056680554,-0.038683319,8.93,0.018729832,0.132998989
79,9.040833333,-0.032159258,-0.346322962,9.044722222,0.12087533,0.190750347,9.046666667,-0.276922136,-0.306283143,9.044722222,0.039016429,-0.020536505,9.046666667,0.017111275,0.081976986
80,9.1575,-0.015103109,-0.320214031,9.161388889,0.156413457,0.219167094,9.163333333,-0.279101584,-0.285394901,9.161388889,0.030299467,-0.013263611,9.163333333,0.017850581,0.03579101
81,9.274166667,-0.015602662,-0.292957181,9.278055556,0.18942043,0.250124731,9.28,-0.277659084,-0.264076309,9.278055556,0.034135201,-0.016396747,9.28,0.017843019,0.006943022
82,9.390833333,-0.036306958,-0.275450677,9.394722222,0.210062203,0.272627993,9.396666667,-0.272693519,-0.246342352,9.394722222,0.042959586,-0.011959338,9.396666667,0.032500995,-0.008175918
83,9.5075,-0.067867201,-0.269080392,9.511388889,0.215763823,0.276252354,9.513333333,-0.269094716,-0.233356227,9.511388889,0.049894087,-0.007159072,9.513333333,0.043454093,-0.014892207
84,9.624166667,-0.086050806,-0.270687932,9.628055556,0.207543752,0.263452873,9.63,-0.262283499,-0.235600445,9.628055556,0.049277177,-0.011353439,9.63,0.041921475,-0.006348986
85,9.740833333,-0.089083133,-0.285148038,9.744722222,0.179702967,0.236315825,9.746666667,-0.241742066,-0.241510497,9.744722222,0.046550537,-0.009806246,9.746666667,0.046859004,0.010589417
86,9.8575,-0.101141256,-0.312820033,9.861388889,0.138193356,0.190283423,9.863333333,-0.214578636,-0.234672224,9.861388889,0.042893912,-0.006705658,9.863333333,0.064713836,0.028753798
87,9.974166667,-0.123367547,-0.348454497,9.978055556,0.091102525,0.141365242,9.98,-0.198570409,-0.229565431,9.978055556,0.035755036,-0.010370461,9.98,0.062273501,0.037004186
88,10.09083333,-0.142230187,-0.383888306,10.09472222,0.044965314,0.102725609,10.09666667,-0.193864648,-0.229226109,10.09472222,0.024471417,-0.020124909,10.09666667,0.053774735,0.039968797
89,10.2075,-0.165417977,-0.412510249,10.21138889,0.002558357,0.073890351,10.21333333,-0.193748996,-0.228113693,10.21138889,0.01586926,-0.027226978,10.21333333,0.048877312,0.044807199
90,10.32416667,-0.188311726,-0.428226986,10.32805556,-0.025411486,0.056688442,10.33,-0.202969773,-0.233512681,10.32805556,0.002943091,-0.035642637,10.33,0.040343513,0.056115169
91,10.44083333,-0.185936333,-0.441427396,10.44472222,-0.031021761,0.04829105,10.44666667,-0.212127603,-0.237287309,10.44472222,-0.022343923,-0.052939955,10.44666667,0.059176217,0.076736995
92,10.5575,-0.152356278,-0.448877867,10.56138889,-0.010524714,0.042337587,10.56333333,-0.209662274,-0.231075146,10.56138889,-0.036380492,-0.073348737,10.56333333,0.112387218,0.114014709
93,10.67416667,-0.101344361,-0.44003623,10.67805556,0.019007982,0.036857812,10.68,-0.197134075,-0.223538894,10.67805556,-0.032966183,-0.085896295,10.68,0.187190609,0.158235283
94,10.79083333,-0.045080293,-0.424325454,10.79472222,0.044085119,0.032438522,10.79666667,-0.18287868,-0.219899951,10.79472222,-0.024018656,-0.099336887,10.79666667,0.265080622,0.187613761
95,10.9075,0.012993074,-0.412119221,10.91138889,0.072397473,0.033926186,10.91333333,-0.181778807,-0.223451396,10.91138889,-0.015227415,-0.120603446,10.91333333,0.313474795,0.196429601
96,11.02416667,0.0771042,-0.396006245,11.02805556,0.101657254,0.049610781,11.03,-0.194493037,-0.242131082,11.02805556,-0.011124507,-0.147457099,11.03,0.304084887,0.189735384
97,11.14083333,0.131225315,-0.380344924,11.14472222,0.114488236,0.077033943,11.14666667,-0.205102307,-0.265344435,11.14472222,-0.021905933,-0.184333002,11.14666667,0.244442406,0.159722803
98,11.2575,0.177380348,-0.362626062,11.26138889,0.117958331,0.107188009,11.26333333,-0.207466804,-0.281949411,11.26138889,-0.028098979,-0.215216505,11.26333333,0.149598295,0.105393576
99,11.37416667,0.224109836,-0.33384326,11.37805556,0.132080648,0.138627529,11.38,-0.207795239,-0.291188254,11.37805556,-0.039379523,-0.232058704,11.38,0.059141979,0.044452999
100,11.49083333,0.251341877,-0.300532336,11.49472222,0.147486815,0.161833623,11.49666667,-0.204915072,-0.295694682,11.49472222,-0.043323854,-0.229382766,11.49666667,-0.004663527,-0.019066072
101,11.6075,0.254420593,-0.27023738,11.61138889,0.143565248,0.165786418,11.61333333,-0.203417377,-0.305087701,11.61138889,0.000475172,-0.198558868,11.61333333,-0.0422365,-0.089051515
102,11.72416667,0.244155792,-0.249701343,11.72805556,0.130673764,0.15491102,11.73,-0.203922917,-0.329714765,11.72805556,0.096888313,-0.141450819,11.73,-0.052524027,-0.138200616
103,11.84083333,0.205704671,-0.2478455,11.84472222,0.118330591,0.135140644,11.84666667,-0.210030704,-0.346462998,11.84472222,0.191023734,-0.08134468,11.84666667,-0.044287196,-0.148310873
104,11.9575,0.145662854,-0.257191984,11.96138889,0.090892322,0.104989017,11.96333333,-0.220677952,-0.351840911,11.96138889,0.262481169,-0.031340009,11.96333333,-0.034949422,-0.143792469
